pdf,page,text_chars,text_blocks,ink_ratio,strong_ink_ratio,is_blank,width_px,height_px
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,17,3019,6,0.4159826294902548,0.07001386413151119,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,18,976,29,0.44445177996376256,0.24914724587927203,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,19,3019,6,0.41599730052889095,0.07002853517014737,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,20,961,29,0.44523301277113914,0.24887216390484365,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,21,3089,7,0.41984844817088823,0.07089779420934104,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,22,991,29,0.4452403482904572,0.24978543605994585,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,23,3019,6,0.41599730052889095,0.07004320620878356,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,24,953,29,0.44495059527739267,0.24878413767302657,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,25,3089,7,0.41988879352713776,0.07091980076729532,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,26,967,29,0.4444004313285359,0.2492022622741577,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,27,3019,6,0.4159862972499138,0.07003587068946546,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,28,985,29,0.4466634390381667,0.2500238404377838,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,29,3089,7,0.4198667869691835,0.0709014619690001,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,30,1015,29,0.44644704121828305,0.25073171805197947,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,31,3019,6,0.4159862972499138,0.07004320620878356,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,32,983,29,0.4450349537495507,0.24968640654915164,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,33,3019,6,0.41600463604820903,0.0700468739684426,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,34,965,29,0.4455080947455675,0.24913991035995392,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,35,3089,7,0.41987779024816063,0.07090879748831819,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,36,980,29,0.44474520073648616,0.24956170272074413,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,37,3019,6,0.4159936327692319,0.0700395384491245,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,38,995,29,0.4452953646853429,0.24987713005142198,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,39,3019,6,0.4160083038078681,0.07005420948776069,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,40,952,29,0.4434981624524108,0.24864476280598286,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,41,3019,6,0.41596429069195956,0.07002853517014737,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,42,984,29,0.4450863023847773,0.24987346229176294,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,43,3019,6,0.4159826294902548,0.07003220292980641,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,44,961,29,0.4451853318955715,0.2489161770207522,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,45,3089,7,0.4198521159305473,0.070894126449682,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,46,991,29,0.4451229799813678,0.24973775518437827,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,47,3019,6,0.41597162621127765,0.07002486741048833,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,48,957,29,0.4450752991058002,0.2488758316645027,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,49,3089,7,0.41984844817088823,0.07088679093036392,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,50,971,29,0.44440409908819495,0.24925727866904338,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,51,3019,6,0.41598996500957286,0.07003587068946546,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,52,987,29,0.4449872728739831,0.24966439999119738,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,53,3019,6,0.4160083038078681,0.0700395384491245,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,54,985,29,0.4467111199137343,0.2501448765065323,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Characters_MODEL_3D_V01.pdf,55,3089,7,0.41987779024816063,0.070894126449682,False,459,594
